S.no,temperature
970,76.51333333
971,76.595
972,76.86666667
973,76.9
974,76.90333333
975,76.9
976,76.835
977,76.88
978,77.08
979,77.12166667
980,77.145
981,77.1
982,77.1
983,77.23
984,77.4
985,77.385
986,77.3
987,77.29833333
988,77.28666667
989,77.45
990,77.49833333
991,77.49833333
992,77.39833333
993,77.26833333
994,77.25
995,77.47166667
996,77.46
997,77.4
998,77.32166667
999,77.29333333
1000,77.24833333
1001,77.39666667
1002,77.42
1003,77.4
1004,77.31166667
1005,77.20166667
1006,77.13
1007,77.26333333
1008,77.2
1009,77.2
1010,77.2
1011,77.24
1012,77.44666667
1013,77.43833333
1014,77.35333333
1015,77.345
1016,77.38333333
1017,77.46
1018,77.62
1019,77.6
1020,77.59
1021,77.54666667
1022,77.5
1023,77.56833333
1024,77.80333333
1025,77.81
1026,77.70166667
1027,77.7
1028,77.7
1029,77.78
1030,77.96166667
1031,77.9
1032,77.9
1033,77.80166667
1034,77.72833333
1035,77.87666667
1036,77.95166667
1037,77.88
1038,77.80166667
1039,77.68
1040,77.6
1041,77.725
1042,77.85
1043,77.755
1044,77.70166667
1045,77.655
1046,77.6
1047,77.71666667
1048,77.9
1049,77.9
1050,77.845
1051,77.69333333
1052,77.64333333
1053,77.895
1054,77.99833333
1055,77.95166667
1056,77.80833333
1057,77.7
1058,77.83166667
1059,78.04
1060,78
1061,77.99833333
1062,77.875
1063,77.8
1064,77.925
1065,78
1066,77.985
1067,77.89833333
1068,77.75333333
1069,77.755
1070,77.97666667
1071,78.04
1072,77.91833333
1073,77.9
1074,77.84
1075,77.84666667
1076,78.05166667
1077,78.03166667
1078,77.955
1079,77.985
1080,77.93
1081,78.09166667
1082,78.285
1083,78.29666667
1084,78.24166667
1085,78.15833333
1086,78.125
1087,78.32666667
1088,78.465
1089,78.41833333
1090,78.4
1091,78.32666667
1092,78.33
1093,78.59166667
1094,78.66
1095,78.62833333
1096,78.58333333
1097,78.43666667
1098,78.45833333
1099,78.585
1100,78.49666667
1101,78.355
1102,78.125
1103,77.83333333
1104,77.71
1105,77.75
1106,77.61
1107,77.495
1108,77.295
1109,77.10333333
1110,77.18666667
1111,77.2
1112,77.12333333
1113,76.83166667
1114,76.54666667
1115,76.69833333
1116,76.82166667
1117,76.83166667
1118,76.70166667
1119,76.47666667
1120,76.52333333
1121,76.75833333
1122,76.845
1123,76.88166667
1124,76.71666667
1125,76.59333333
1126,76.65833333
1127,76.765
1128,76.82666667
1129,76.71
1130,76.6
1131,76.64333333
1132,76.79
1133,76.70333333
1134,76.685
1135,76.67333333
1136,76.63833333
1137,76.73166667
1138,76.7
1139,76.7
1140,76.64
1141,76.645
1142,76.75833333
1143,76.7
1144,76.63833333
1145,76.47333333
1146,76.25166667
1147,76.16333333
1148,76.01
1149,75.84833333
1150,75.50166667
1151,75.09333333
1152,74.90333333
1153,74.83833333
1154,74.8
1155,74.755
1156,74.59833333
1157,74.33833333
1158,74.34833333
1159,74.595
1160,74.75833333
1161,74.8
1162,74.75166667
1163,74.7
1164,74.84833333
1165,74.83666667
1166,74.15666667
1167,72.89
1168,76.135
1169,82.09833333
1182,83.00666667
1183,82.58666667
1184,82.20833333
1185,81.90166667
1186,81.58333333
1187,81.25833333
1188,80.94333333
1189,80.64166667
1190,80.33833333
1191,80.03
1192,79.76166667
1193,79.49
1194,79.20333333
1195,78.915
1196,78.675
1197,78.415
1198,78.14
1199,77.87333333
1200,77.61166667
1201,77.365
1202,77.10166667
1203,76.845
1204,76.585
1205,76.35
1206,76.12833333
1207,75.90666667
1208,75.685
1209,75.43
1210,75.19833333
1211,74.945
1212,74.69666667
1213,74.42166667
1214,74.15833333
1215,73.88166667
1216,73.61166667
1217,73.35
1218,73.08
1219,72.80166667
1220,72.525
1221,72.25666667
1222,71.98833333
1223,71.71333333
1224,71.445
1225,71.165
1226,70.89166667
1227,70.61666667
1228,70.32333333
1229,70.02
1230,69.72
1231,69.43333333
1232,69.13666667
1233,68.83333333
1234,68.56
1235,68.27833333
1236,67.995
1237,67.71333333
1238,67.44833333
1239,67.18666667
1240,66.91666667
1241,66.67
1242,66.4
1243,66.13333333
1244,65.88833333
1245,65.64333333
1246,65.38833333
1247,65.145
1248,64.90333333
1249,64.65833333
1250,64.415
1251,64.19333333
1252,63.96166667
1362,64.435
1363,64.97
1364,65.47333333
1365,66.01833333
1366,66.55666667
1367,67.08666667
1368,67.60833333
1369,68.13333333
1370,68.61333333
1371,69.095
1372,69.575
1373,70.045
1374,70.525
1375,71.015
1376,71.475
1377,71.91833333
1378,72.37
1379,72.8
1380,73.20833333
1381,73.60333333
1382,73.79833333
1383,73.56166667
1384,72.15166667
1385,72.085
1386,76.22666667
1387,78.87
1388,79.88333333
1389,80.32666667
1390,80.24833333
1391,78.305
1392,77.74
1393,78.22166667
1394,78.3
1395,78.15166667
1396,77.39333333
1397,76.1
1398,76.87833333
1399,77.95833333
1400,78.38833333
1401,78.44333333
1402,77.93
1403,77.10166667
1404,77.89
1405,78.77
1406,79.04333333
1407,78.90833333
1408,77.72333333
1409,76.25166667
1410,76.285
1411,76.67
1412,76.8
1413,76.66
1414,75.91833333
1415,75.49333333
1416,76.06333333
1417,76.60666667
1418,76.79333333
1419,76.64333333
1420,76.06333333
1421,75.935
1422,76.54333333
1423,76.92666667
1424,76.99833333
1425,76.70166667
1426,76.15833333
1427,76.35166667
1428,76.82
1429,77.04666667
1430,76.985
1431,76.43166667
1432,76.06833333
1433,76.36166667
1434,76.66666667
1435,76.775
1436,76.415
1437,75.82166667
1438,75.82166667
1439,76.145
1440,76.3
1441,76.185
1442,75.64666667
1443,75.32333333
1444,75.57833333
1445,75.85666667
1446,75.88333333
1447,75.59
1448,75.13166667
1449,75.04
1450,75.185
1451,75.00833333
1452,74.27333333
1453,72.89333333
1454,71.64
1455,71.09333333
1456,70.92833333
1457,70.905
1458,70.84833333
1459,70.61833333
1460,70.55166667
1461,70.875
1462,71.295
1463,71.50666667
1464,71.46833333
1465,71.23
1466,71.35666667
1467,71.66833333
1468,71.94
1469,71.95166667
1470,71.69833333
1471,71.65166667
1472,71.93833333
1473,72.24333333
1474,72.4
1475,72.32333333
1476,72.14
1477,72.25833333
1478,72.42166667
1479,72.645
1480,72.7
1481,72.62666667
1482,72.75333333
1483,75.85833333
1484,77.99333333
1485,78.68166667
1486,79.04
1487,79.085
1488,78.93666667
1489,78.72
1490,78.48666667
1491,75.72666667
1492,71.56
1493,68.13666667
1494,69.15833333
1495,73.89166667
1496,79.02666667
1506,82.88333333
1507,82.06333333
1508,81.285
1509,80.57833333
1510,79.93
1511,79.31833333
1512,78.69333333
1513,78.08666667
1514,77.51333333
1515,76.965
1516,76.41333333
1517,75.85
1518,75.31166667
1519,74.79666667
1520,74.27166667
1521,73.76833333
1522,73.265
1523,72.75833333
1524,72.26666667
1525,71.785
1526,71.31333333
1527,70.875
1528,70.42
1529,69.99333333
1530,69.52333333
1531,68.89833333
1532,68.26333333
1533,67.66666667
1534,67.11333333
1535,66.60833333
1536,66.145
1537,65.73333333
1538,65.32
1539,64.92833333
1540,64.53333333
1541,64.14
1645,63.97666667
1646,64.22833333
1647,64.49333333
1648,64.75333333
1649,64.98666667
1650,65.21
1651,65.44833333
1652,66.87833333
1653,70.61
1654,72.94333333
1655,74.22
1656,77.15
1657,79.32666667
1658,79.655
1659,79.66166667
1660,79.485
1661,77.05166667
1662,72.44666667
1663,70.99333333
1664,70.55833333
1665,70.11166667
1666,68.80666667
1667,66.84833333
1668,66.715
1669,67.04333333
1670,67.22666667
1671,67.10166667
1672,66.09833333
1673,65.86166667
1674,66.365
1675,66.615
1676,66.59166667
1677,66.01833333
1678,65.80333333
1679,66.41666667
1680,66.95166667
1681,67.075
1682,66.77833333
1683,66.53666667
1684,66.99
1685,67.53666667
1686,67.81666667
1687,67.72666667
1688,67.47666667
1689,67.49
1690,68.045
1691,68.49166667
1692,68.6
1693,68.565
1694,68.44
1695,68.65166667
1696,69.14166667
1697,69.36
1698,69.39833333
1699,69.29166667
1700,69.15
1701,69.41666667
1702,69.85
1703,70
1704,69.95666667
1705,69.775
1706,69.615
1707,70.00333333
1708,70.36333333
1709,70.46666667
1710,70.36
1711,70.17333333
1712,70.12
1713,70.48
1714,70.76833333
1715,70.78
1716,70.57333333
1717,70.32166667
1718,70.39166667
1719,70.70166667
1720,70.88833333
1721,70.84166667
1722,70.57666667
1723,70.33666667
1724,70.29166667
1725,70.62
1726,70.83
1727,70.80833333
1728,70.495
1729,70.18666667
1730,70.33333333
1731,70.65
1732,70.75833333
1733,70.62
1734,70.28333333
1735,70.01666667
1736,70.28333333
1737,70.62333333
1738,70.74333333
1739,70.58
1740,70.20166667
1741,70.00666667
1742,70.29166667
1743,70.58833333
1744,70.68166667
1745,70.44166667
1746,70.11
1747,70.015
1748,70.335
1749,70.56
1750,70.58333333
1751,70.31833333
1752,70.03666667
1753,70.19166667
1754,70.50333333
1755,70.50333333
1756,70.405
1757,70.06
1758,70.075
1759,70.46
1760,70.7
1761,70.58
1762,70.395
1763,70.05333333
1764,70.20166667
1765,70.63666667
1766,70.81666667
1767,70.85833333
1768,70.59166667
1769,70.315
1770,70.49666667
1771,70.82666667
1772,71.04333333
1773,70.99166667
1774,70.62666667
1775,70.33333333
1776,70.41666667
1777,70.79166667
1778,70.985
1779,70.89
1780,70.59333333
1781,70.48166667
1782,70.59
1783,70.89333333
1784,71
1785,70.855
1786,70.46833333
1787,70.38666667
1788,70.68333333
1789,70.98666667
1790,71.1
1791,70.97333333
1792,70.96666667
1793,71.30666667
1794,71.64666667
1795,71.87166667
1796,71.81166667
1797,71.68833333
1798,71.92333333
1799,72.265
1800,72.53666667
1801,72.6
1802,72.46833333
1803,72.41333333
1804,72.65166667
1805,72.89833333
1806,73.08833333
1807,73.11
1808,72.95833333
1809,72.96833333
1810,73.26333333
1811,73.48
1812,73.66166667
1813,73.67166667
1814,73.485
1815,73.47333333
1816,73.745
1817,73.955
1818,73.99333333
1819,73.87333333
1820,73.66666667
1821,73.725
1822,73.96166667
1823,74.11
1824,74.19666667
1825,74.07833333
1826,73.88166667
1827,73.80166667
1828,74.025
1829,74.295
1830,74.4
1831,74.20333333
1832,73.73166667
1833,73.61333333
1834,73.80166667
1835,73.88
1836,73.63333333
1837,72.94
1838,72.41166667
1839,72.42333333
1840,72.54333333
1841,72.45666667
1842,72.1
1843,71.48
1844,71.19833333
1845,71.29666667
1846,71.4
1847,71.30166667
1848,70.99333333
1849,70.64833333
1850,70.51166667
1851,70.65666667
1852,70.7
1853,70.605
1854,70.43666667
1855,70.17666667
1856,69.90166667
1857,69.68333333
1858,69.52
1859,69.37333333
1860,69.255
1861,69.16833333
1862,69.055
1863,68.935
1864,68.80166667
1865,68.67166667
1866,68.54
1867,68.36333333
1868,68.19666667
1869,68
1870,67.795
1871,67.58833333
1872,67.37666667
1873,67.165
1874,66.945
1875,66.755
1876,66.555
1877,66.37333333
1878,66.165
1879,65.98666667
1880,65.80833333
1881,65.645
1882,65.48333333
1883,65.31333333
1884,65.14333333
1885,64.965
1886,64.79666667
1887,64.62333333
1888,64.45333333
1889,64.28333333
1890,64.12166667
1891,63.95
1938,64.73666667
1939,65.18833333
1940,65.015
1941,65.16833333
1942,65.51833333
1943,66.09166667
1944,66.76833333
1945,67.145
1946,67.155
1947,67.23
1948,67.25
1949,67.68166667
1950,68.21
1951,68.375
1952,68.4
1953,68.385
1954,68.72666667
1955,69.19833333
1956,69.25833333
1957,69.27833333
1958,69.14
1959,69.5
1960,69.98833333
1961,70.045
1962,69.98666667
1963,69.82666667
1964,69.99
1965,70.41333333
1966,70.79
1967,70.87833333
1968,70.65333333
1969,70.575
1970,70.91833333
1971,71.28166667
1972,71.4
1973,71.29333333
1974,71.09666667
1975,71.34833333
1976,71.66333333
1977,71.895
1978,71.92
1979,71.69666667
1980,71.71333333
1981,71.925
1982,72.17833333
1983,72.295
1984,72.155
1985,72
1986,72.15333333
1987,72.38
1988,72.57333333
1989,72.58166667
1990,72.41166667
1991,72.39666667
1992,72.67333333
1993,72.95166667
1994,73.03833333
1995,72.88666667
1996,72.7
1997,72.83833333
1998,73.04166667
1999,73.27833333
2000,73.3
2001,73.21833333
2002,73.09166667
2003,73.235
2004,73.34666667
2005,73.57
2006,73.54833333
2007,73.42833333
2008,73.31
2009,73.455
2010,73.53166667
2011,73.75333333
2012,73.715
2013,73.58833333
2014,73.49
2015,73.67166667
2016,73.80333333
2017,74.02333333
2018,73.975
2019,73.755
2020,73.635
2021,73.78833333
2022,73.83
2023,73.975
2024,74
2025,73.84166667
2026,73.775
2027,73.88833333
2028,73.93166667
2029,73.96666667
2030,74.09833333
2031,73.96833333
2032,73.89
2033,73.97833333
2034,74.03666667
2035,74.1
2036,74.17833333
2037,74.12833333
2038,73.94166667
2039,73.955
2040,74.17166667
2041,74.31166667
2042,74.4
2043,74.25833333
2044,73.97166667
2045,73.825
2046,74.10833333
2047,74.40166667
2048,74.5
2049,74.26333333
2050,73.80666667
2051,73.74
2052,74.04166667
2053,74.23333333
2054,74.36833333
2055,74.24833333
2056,74.00333333
2057,73.95833333
2058,74.19
2059,74.30333333
2060,74.4
2061,74.37666667
2062,74.14
2063,73.96666667
2064,74.15833333
2065,74.42333333
2066,74.50666667
2067,74.62833333
2068,74.6
2069,74.70333333
2070,75.005
2071,75.1
2072,75.13333333
2073,75.2
2074,75.195
2075,75.20833333
2076,75.44333333
2077,75.695
2078,75.76166667
2079,75.78
2080,75.57
2081,75.435
2082,75.62833333
2083,75.8
2084,75.84
2085,75.78166667
2086,75.57
2087,75.5
2088,75.57666667
2089,75.86
2090,75.9
2091,75.84833333
2092,75.71833333
2093,75.63166667
2094,75.80666667
2095,75.96166667
2096,75.83166667
2097,75.71166667
2098,75.485
2099,75.275
2100,75.2
2101,75.39166667
2102,75.61166667
2103,75.69833333
2104,75.575
2105,75.205
2106,74.92
2107,75.1
2108,75.30333333
2109,75.4
2110,75.31
2111,74.97333333
2112,74.8
2113,74.96
2114,75.135
2115,75.23833333
2116,75.12833333
2117,74.79
2118,74.61666667
2119,74.80166667
2120,74.90333333
2121,74.99
2122,74.88833333
2123,74.64666667
2124,74.41
2125,74.50166667
2126,74.62166667
2127,74.77
2128,74.67666667
2129,74.41833333
2130,74.24333333
2131,74.48
2132,74.69166667
2133,74.68333333
2134,74.46
2135,74.13666667
2136,74.21333333
2137,74.41666667
2138,74.5
2139,74.49333333
2140,74.3
2141,74.16666667
2142,74.38333333
2143,74.57666667
2144,74.59
2145,74.40833333
2146,74.21
2147,74.325
2148,74.4
2149,74.49
2150,74.48833333
2151,74.295
2152,74.22
2153,74.37
